Departmental Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Employment Programmes,01/08/2011,JSP ESF DEL P COSTS,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£25,276"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£1,533"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£5,256"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£6,136"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£5,262"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£2,984"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£5,750"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£4,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£15,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£46,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£2,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£13,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£12,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£27,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£1,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£13,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£3,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£9,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£49,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£800
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£1,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£88,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£800
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£10,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£3,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£8,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£14,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£3,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£14,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£1,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£10,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£28,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£800
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£6,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£4,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£23,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£4,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£800
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,"£1,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,INGEUS UK LTD,2021945608,£400
Department for Work and Pensions,Corporate,01/08/2011,EMPLOYMENT ZONES,GROUP FINANCE,KINGDOM CREDIT UNION,2021945738,"£40,500"
Department for Work and Pensions,Corporate,01/08/2011,EMPLOYMENT ZONES,GROUP FINANCE,LEEDS CREDIT UNION,2021945782,"£81,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,"£3,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,"£21,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,"£3,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,"£1,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,"£2,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,"£8,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,"£2,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,"£1,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,MAXIMUS EMPLOYMENT UK LTD,2021945846,£400
Department for Work and Pensions,Corporate,01/08/2011,PROFESSIONAL FEES,WWG SUMMARY,NATIONAL DEVELOPMENT TEAM FOR INCLUSION,2021945883,"£26,411"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,"£10,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,"£14,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,"£1,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,"£27,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,"£1,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,"£10,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,"£23,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,"£25,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,"£3,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,NEWCASTLE COLLEGE GROUP,2021945886,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,JOBCENTRE PLUS PATHWAYS TO WORK,WWEG EMPLOYMENT PROGRAMMES,NHS GRAMPIAN,2021945888,"£120,555"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2021945948,"£9,747"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2021945948,"£12,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2021945948,"£16,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2021945948,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2021945948,£800
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2021945948,"£21,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2021945948,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2021945948,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2021945948,"£2,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2021946006,"£4,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2021946006,"£23,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2021946006,"£6,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2021946006,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2021946006,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2021946008,"£7,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2021946008,"£7,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2021946008,£800
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2021946008,"£17,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2021946008,"£1,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2021946008,"£4,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2021946008,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2021946008,"£1,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,JSP ESF DEL P COSTS,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,£733
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£11,356"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£2,204"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£1,845"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,£464
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£7,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£16,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£2,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£13,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£3,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£10,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£46,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£3,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2021946090,"£14,800"
