Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.08.2011 to 31.08.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,KINGSTON UPON HULL CITY COUNCIL,382587,809125,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,EAST RIDING OF YORKSHIRE,382589,984819,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,NORTH EAST LINCOLNSHIRE COUNCIL,382591,469192,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,NORTH LINCOLNSHIRE COUNCIL,382593,522619,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,NORTH YORKSHIRE COUNTY COUNCIL,382595,1926213,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,YORK CITY COUNCIL,382597,567479,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,LUTON BOROUGH COUNCIL,382599,887518,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BUCKINGAMSHIRE COUNTY COUNCIL,382601,2141132,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,MILTON KEYNES COUNCIL,382603,1422038,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,DERBYSHIRE COUNTY COUNCIL,382605,2213329,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,DERBY CITY COUNCIL,382607,832583,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,DORSET COUNTY COUNCIL,382609,1238614,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,POOLE BOROUGH COUNCIL,382611,1857481,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BOURNEMOUTH BOROUGH COUNCIL,382613,500946,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,DURHAM COUNTY COUNCIL,382615,1510949,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,DARLINGTON BOROUGH COUNCIL,382617,352446,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,EAST SUSSEX COUNTY COUNCIL,382619,1683166,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BRIGHTON AND HOVE CITY COUNCIL,382621,743717,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,HAMPSHIRE COUNTY COUNCIL,382623,4117786,
