ENTITY,DATE,EXPENSE_AREA_3,EXPENSE_TYPE_3,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
MoJ HQ,09/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1035890,"£200,774.25"
MoJ HQ,09/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1035890,"£197,805.42"
MoJ HQ,09/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1035890,"£133,757.90"
MoJ HQ,13/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1036291,"£41,852.80"
MoJ HQ,13/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1036291,"£26,449.92"
MoJ HQ,16/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1036709,"£101,639.00"
MoJ HQ,16/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1036709,"£54,443.90"
MoJ HQ,16/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1036709,"£59,899.50"
MoJ HQ,21/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1037124,"£46,920.00"
MoJ HQ,23/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1037403,"£33,508.17"
MoJ HQ,23/Dec/2010 ,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1037402,"£139,453.60"
MoJ HQ,09/Dec/2010 ,MF600-Directorate of Judicial Offices,266000-Judicial Costs,CALDER CONFERENCES LTD,1035777,"£39,175.32"
MoJ HQ,03/Dec/2010 ,KY300-Legal Services Strategy,245000-Grants in Aid to NDPBs,LEGAL SERVICES COMMISSION,6239,"£9,000,000.00"
MoJ HQ,07/Dec/2010 ,KY340-Access to Justice Delivery,246000-Current Grants,THE PAROLE BOARD,6244,"£800,000.00"
MoJ HQ,16/Dec/2010 ,KY340-Access to Justice Delivery,246000-Current Grants,CRIMINAL CASES REVIEW COMMISSION,6247,"£600,000.00"
MoJ HQ,07/Dec/2010 ,RC999-Criminal Justice Group - OMS,245000-Grants in Aid to NDPBs,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,6245,"£23,000,000.00"
MoJ HQ,06/Dec/2010 ,KY300-Legal Services Strategy,311100-Legal Aid,LEGAL SERVICES COMMISSION,6242,"£82,600,000.00"
MoJ HQ,09/Dec/2010 ,KY300-Legal Services Strategy,311100-Legal Aid,LEGAL SERVICES COMMISSION,6246,"£13,200,000.00"
MoJ HQ,16/Dec/2010 ,KY300-Legal Services Strategy,311100-Legal Aid,LEGAL SERVICES COMMISSION,6248,"£21,300,000.00"
MoJ HQ,23/Dec/2010 ,KY300-Legal Services Strategy,311100-Legal Aid,LEGAL SERVICES COMMISSION,6250,"£22,500,000.00"
MoJ HQ,23/Dec/2010 ,NZ406-Strategic Estates Feeder,532000-Tangible GBV - Additions,ATOS ORIGIN IT SERVICES UK LTD,1037347,"£136,745.33"
MoJ HQ,02/Dec/2010 ,NX900-MOJ Shared Services,532000-Tangible GBV - Additions,LIBERATA UK LTD,1035418,"£98,696.45"
MoJ HQ,23/Dec/2010 ,PZ501-MoJ ICT Feeder,532000-Tangible GBV - Additions,FUJITSU SERVICES LTD,1037394,"£591,840.94"
