Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount 
DFID,DFID,08/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,EUROPEAN FOREST INSTITUTE,400127520,"248,556.38"
DFID,DFID,05/11/2010,Research & Development,Policy and Research Directorate,UNIVERSITY OF CAMBRIDGE,400127522,"43,202.43"
DFID,DFID,08/11/2010,Aid to partner government,International Relations Division,Deposit Insurance Agency - Policy Coordination,400127526,"123,238.16"
DFID,DFID,02/11/2010,Technical & Advisory services,Western Asia and Stabilisation Division,Innovative Development Strategies (Pvt) LTd,400127564,"26,959.85"
DFID,DFID,08/11/2010,Technical & Advisory services,West and Southern Africa,COFFEY INTERNATIONAL DEVELOPMENT LTD,400127607,"110,192.48"
DFID,DFID,08/11/2010,Technical & Advisory services,Western Asia and Stabilisation Division,ADAM SMITH INTERNATIONAL  LTD,400127613,"333,819.76"
DFID,DFID,08/11/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400127639,"137,741.73"
DFID,DFID,09/11/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",CARE INTERNATIONAL,400127641,"155,791.46"
DFID,DFID,08/11/2010,"Property Repairs, Maintenance & Alterations",East and Central Africa,TURNER & TOWNSEND,400127653,"54,293.00"
DFID,DFID,09/11/2010,Aid to international organisations,East and Central Africa,UNDP CONTRIBUTIONS ACCOUNT,400127654,"400,000.00"
DFID,DFID,09/11/2010,Aid to civil society organisations / NGOs,Asia Division,MAF AIR SUPPORT BANGLADESH,400127656,"50,000.00"
DFID,DFID,09/11/2010,Aid to civil society organisations / NGOs,East and Central Africa,International Food PolicyResearch Institute (IFRI,400127661,"67,627.13"
DFID,DFID,09/11/2010,Aid to civil society organisations / NGOs,Asia Division,Transparency International (Bangladesh),400127662,"217,513.64"
