Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description,,,,,,,,,,,,,,,,,,,,
FCO,FCO,18/07/2014,4760176,37157.11,ISS FACILITY SERVICES LTD FCO OP,Manned Guarding Services,,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4753621,36776.37,ASIA FOUNDATION,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4749432,36542.09,COMPUTACENTER UK LTD,Information Systems Maintenance,,,,,,,,,,,,,,,,,,,,
FCO,FCO,18/07/2014,4760170,36364.56,ISS FACILITY SERVICES LTD FCO OP,Manned Guarding Services,,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4765075,35978.97,MEDIA DIVERSITY INSTITUTE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4765544,35826.23,ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - non residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,07/07/2014,4746375,35541.83,XIAMEN UNIVERSITY,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,15/07/2014,4759955,35315.21,ACACIA HEALTH INSURANCE,Subsidy To Local Medical Schemes,,,,,,,,,,,,,,,,,,,,
FCO,FCO,28/07/2014,4771177,35116.89,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4773062,34917.00,BUILDING RESEARCH ESTABLISHMENT LTD,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4759826,34758.46,CAMERA DE COMERT BRITANICA ROMANA,UKTI HQ Allocation- DSO,,,,,,,,,,,,,,,,,,,,
FCO,FCO,08/07/2014,4746912,34556.39,G4S SECURITY SERVICES,Local Guards,,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4765552,34465.70,ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4769858,34342.88,FCO SERVICES,Information Systems Maintenance,,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4752493,34262.00,VESTGUARD UK LTD,"Vehicle Purchases Below £3,000",,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4765549,34114.94,ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4765552,34086.96,ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,03/07/2014,4747020,34042.00,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,Rental Payments - non residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,28/07/2014,4755669,33980.69,FACILITY ASIA PTE LTD,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,30/07/2014,4769872,33936.00,FCO SERVICES,IT/IS Consultancy,,,,,,,,,,,,,,,,,,,,
FCO,FCO,10/07/2014,4748218,33719.87,NORTEL SECURITY ZAO OP,Local Guards,,,,,,,,,,,,,,,,,,,,
FCO,FCO,17/07/2014,4761174,33078.99,DX NETWORK SERVICES,Postal Services,,,,,,,,,,,,,,,,,,,,
FCO,FCO,08/07/2014,4749477,32840.00,BOURNEMOUTH UNIVERSITY DISASTER MANAGEMENT CENTRE,Recharge Suspense Account (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,07/07/2014,4747147,32838.00,CRTA,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
