MODGPC42208,05-Oct-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł696.00,42208
MODGPC42209,02-Oct-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł2,718.46",42209
MODGPC42210,04-Oct-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł2,053.20",42210
MODGPC42211,09-Oct-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł588.66,42211
MODGPC42212,04-Oct-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł2,700.00",42212
MODGPC42213,05-Oct-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł1,080.86",42213
MODGPC42214,05-Oct-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł3,200.00",42214
MODGPC42215,04-Oct-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł600.00,42215
MODGPC42216,03-Oct-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł2,300.00",42216
MODGPC42217,08-Oct-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł636.00,42217
MODGPC42218,08-Oct-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł595.00,42218
MODGPC42219,04-Oct-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł822.00,42219
MODGPC42220,11-Oct-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,Ł553.11,42220
MODGPC42221,09-Oct-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł817.18,42221
MODGPC42222,04-Oct-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł1,762.80",42222
MODGPC42223,09-Oct-12,Computer Equipment & Services      , COMPUTER NETWORK/INFO SVCS,"Ł1,086.12",42223
MODGPC42224,11-Oct-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,Ł596.40,42224
MODGPC42225,08-Oct-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł870.07,42225
MODGPC42226,09-Oct-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,320.35",42226
MODGPC42227,02-Oct-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł2,210.91",42227
MODGPC42228,09-Oct-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,285.67",42228
MODGPC42229,02-Oct-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł658.87,42229
MODGPC42230,09-Oct-12,Estate and Garden Services         , FLORISTS,Ł922.84,42230
MODGPC42231,10-Oct-12,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY",Ł519.64,42231
MODGPC42232,05-Oct-12,Freight and Storage                , MOTOR FREIGHT CARRIERS,Ł998.00,42232
MODGPC42233,08-Oct-12,Freight and Storage                , MOTOR FREIGHT CARRIERS,Ł650.40,42233
MODGPC42234,04-Oct-12,Freight and Storage                , MOTOR FREIGHT CARRIERS,"Ł1,316.75",42234
MODGPC42235,02-Oct-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł1,944.00",42235
MODGPC42236,08-Oct-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł26,712.00",42236
MODGPC42237,08-Oct-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł1,152.00",42237
