Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,13/05/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,10518,Cost of ground diesel fuel consumed,£26.15
Ministry of Defence,Ministry of Defence,22/05/2015,Transport hire charges,JFC,RYDER PUBLIC LIMITED COMPANY,SK16 4UL,15056,Transport other operating lease,£26.03
Ministry of Defence,Ministry of Defence,22/05/2015,Purchase of inventory and services ,Air Command,DARCY PRODUCTS LTD,ME20 6GN,14793,Equipment support non-project costs,£25.97
Ministry of Defence,Ministry of Defence,28/05/2015,Purchase of inventory and services ,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000103,Cost of other material consumed,£25.69
Ministry of Defence,Ministry of Defence,13/05/2015,Purchase of inventory and services ,DEFENCE INFRASTRUCTURE ORGANISATION,SOFTCAT LIMITED,SL7 1TB,10774,Computer equipment costing below the capitalisation threshold,£25.57
Ministry of Defence,Ministry of Defence,18/05/2015,IT and communication services,Land Forces,SERCO LIMITED,RG27 9UY,12787,Movement of service personnel,£25.50
Ministry of Defence,Ministry of Defence,21/05/2015,Externally delivered education and training,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000058,External military training ,£25.33
Ministry of Defence,Ministry of Defence,20/05/2015,Food and clothing,Land Forces,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,13737,Utilities consumed - gas,£25.15
Ministry of Defence,Ministry of Defence,26/05/2015,Spend on Inventory - General,JFC,AAH PHARMACEUTICALS LTD,CV2 2TX,15174,Consumption of medical dental and veterinary inventory,£25.08
Ministry of Defence,Ministry of Defence,19/05/2015,IT and communication services,Air Command,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,13185,Freight movement costs,£24.83
Ministry of Defence,Ministry of Defence,21/05/2015,Design services and minor equipment purchases,DES Bespoke Trading Entity,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,14169,Cost of ground diesel fuel consumed,£24.80
Ministry of Defence,Ministry of Defence,14/05/2015,Spend on Inventory - General,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,10897,Equipment support non-project costs,£24.73
Ministry of Defence,Ministry of Defence,18/05/2015,Spend on Inventory - General,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,12054,Equipment support non-project costs,£24.73
Ministry of Defence,Ministry of Defence,14/05/2015,Payment of utilities,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000015,Utilities consumed - water + sewage,£24.70
Ministry of Defence,Ministry of Defence,14/05/2015,Fuel for military use,DES Bespoke Trading Entity,VISION SUPPORT SERVICES LIMITED,BB1 2QE,11216,Spend on Inventory - General,£24.60
Ministry of Defence,Ministry of Defence,19/05/2015,Design services and minor equipment purchases,Defence Equipment + Support,VISION SUPPORT SERVICES LIMITED,BB1 2QE,13608,Spend on Inventory - General,£24.60
Ministry of Defence,Ministry of Defence,29/05/2015,IT and communication services,DEFENCE INFRASTRUCTURE ORGANISATION,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,16629,Cost of other material consumed,£24.45
Ministry of Defence,Ministry of Defence,18/05/2015,IT and communication services,Defence Equipment + Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,11955,Cost of other material consumed,£24.43
Ministry of Defence,Ministry of Defence,22/05/2015,Estate management,Air Command,TAL INTERNATIONAL CONTAINER CORPORATION,RM13 8EU,15109,Freight movement costs,£24.30
Ministry of Defence,Ministry of Defence,21/05/2015,"Transportation of personnel, freight and travel expenses",JFC,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,14282,General administration,£23.98
