Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,30/06/2015,Development costs for military equipment,Defence Equipment + Support,AGUSTAWESTLAND LIMITED,BA20 2YB,29137,Intangible fiscal asset  - in year capital addition,"Ł35,628.00"
Ministry of Defence,Ministry of Defence,03/06/2015,Saudi Catering and Contracting Company,HOCS,Saudi Catering and Contracting Company,,CO001,Team Expenditure,"Ł35,627.55"
Ministry of Defence,Ministry of Defence,03/06/2015,Fees for professional services,HO+CS,GOVERNMENT ACTUARY'S DEPARTMENT,EC4A 1AB,300000136,Fees for professional services excluding legal fees,"Ł35,592.67"
Ministry of Defence,Ministry of Defence,08/06/2015,Spend on Inventory - General,Land Forces,FORBO FLOORING UK LIMITED.,KY1 2SB,19610,Spend on Inventory - General,"Ł35,498.33"
Ministry of Defence,Ministry of Defence,24/06/2015,Spend on Inventory - General,DEFENCE INFRASTRUCTURE ORGANISATION,FORBO FLOORING UK LIMITED.,KY1 2SB,27078,Spend on Inventory - General,"Ł35,492.68"
Ministry of Defence,Ministry of Defence,10/06/2015,Spend on Inventory - General,Defence Equipment + Support,WYEDEAN WEAVING COMPANY  LIMITED (THE),BD22 8PA,20761,Spend on Inventory - General,"Ł35,397.93"
Ministry of Defence,Ministry of Defence,10/06/2015,Fuel for military use,Land Forces,HARVEST ENERGY LIMITED,W1H 7JT,20442,Cost of ground diesel fuel consumed,"Ł35,302.24"
Ministry of Defence,Council of Reserve Forces and Cadets Association,12/06/2015,Rents/Leases/Alarms/Lettings,Infrastructure,London Scottish HQ Trust,SW1P 2DX,1785,Rents/Leases/Alarms/Lettings,"Ł35,268.75"
Ministry of Defence,Ministry of Defence,11/06/2015,Administration,Land Forces,STIRLING COUNCIL,FK7 7QA,21231,General administration,"Ł35,266.00"
Ministry of Defence,Ministry of Defence,30/06/2015,Fuel for military use,Land Forces,CERTAS ENERGY UK LIMITED,WA3 6XG,29195,Cost of ground diesel fuel consumed,"Ł35,207.95"
Ministry of Defence,Ministry of Defence,26/06/2015,Food and clothing,DES Bespoke Trading Entity,ARAMARK LTD,LS16 6QY,28039,Cost of food services,"Ł35,203.68"
Ministry of Defence,Ministry of Defence,22/06/2015,Spend on Inventory - General,Land Forces,FORBO FLOORING UK LIMITED.,KY1 2SB,25599,Spend on Inventory - General,"Ł35,192.01"
Ministry of Defence,Ministry of Defence,03/06/2015,Externally delivered education and training,DEFENCE INFRASTRUCTURE ORGANISATION,NUFFIELD HEALTH,KT3 4QF,18234,External military training ,"Ł35,131.65"
Ministry of Defence,Ministry of Defence,09/06/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,20003,Works - estate management,"Ł35,113.75"
Ministry of Defence,Ministry of Defence,15/06/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,TOUCHSTONE CORPORATE PROPERTY SERVICES LIMITED,BA2 2AF,23361,Rent land - non civil estate property + married quarter property,"Ł35,040.00"
Ministry of Defence,Ministry of Defence,08/06/2015,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,19984,Cost of other material consumed,"Ł35,027.37"
Ministry of Defence,Ministry of Defence,10/06/2015,Administration,Land Forces,LONDON BOROUGH OF REDBRIDGE,IG1 1NN,20506,General administration,"Ł35,000.00"
Ministry of Defence,Ministry of Defence,02/06/2015,Design services and minor equipment purchases,Defence Equipment + Support,CLAVERHAM LTD,BS49 4NF,17258,Equipment support non-project costs,"Ł34,918.00"
Ministry of Defence,Ministry of Defence,04/06/2015,Fees for professional services,Land Forces,LGC LTD,TW11 0LY,18629,Fees for professional services excluding legal fees,"Ł34,888.15"
Ministry of Defence,Ministry of Defence,25/06/2015,Spend on Inventory - General,Defence Equipment + Support,SURVITEC GROUP LIMITED,CH41 1HQ,27936,Spend on Inventory - General,"Ł34,829.94"
Ministry of Defence,Ministry of Defence,30/06/2015,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,29455,Cost of other material consumed,"Ł34,698.72"
Ministry of Defence,Ministry of Defence,29/06/2015,Service and civilian recruitment,DES Bespoke Trading Entity,CAPITA RESOURCING LTD,DL1 9HN,28682,Civilian recruitment excluding recruitment related external assistance,"Ł34,650.00"
Ministry of Defence,Ministry of Defence,03/06/2015,Purchase of inventory and services ,JFC,AAH PHARMACEUTICALS LTD,CV2 2TX,17896,Consumption of medical dental and veterinary inventory,"Ł34,620.42"
Ministry of Defence,Council of Reserve Forces and Cadets Association,05/06/2015,Rates/NDR,Infrastructure,Land & Property services,BT2 7SL,748,Rates/NDR,"Ł34,498.51"
Ministry of Defence,Ministry of Defence,08/06/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,19704,Fiscal private finance initiative asset under construction - capital in year addition,"Ł34,395.96"
Ministry of Defence,Ministry of Defence,05/06/2015,Medical treatment & stores and welfare services,Land Forces,BROWNLEE PRIMARY SCHOOL,BT27 4AA,10194,Schools + community relations initiatives,"Ł34,273.00"
Ministry of Defence,Ministry of Defence,10/06/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,EXSEL DYTECNA ENGINEERING LIMITED,PO14 4LW,186040,Fiscal asset under construction - capital in year addition,"Ł34,248.17"
Ministry of Defence,Ministry of Defence,18/06/2015,Spend on Inventory - General,Defence Equipment + Support,AGUSTAWESTLAND LIMITED,BA20 2YB,24381,Spend on Inventory - General,"Ł34,205.46"
Ministry of Defence,Ministry of Defence,09/06/2015,Fuel for military use,Air Command,CERTAS ENERGY UK LIMITED,FK5 4RB,20033,Cost of ground diesel fuel consumed,"Ł34,160.77"
