Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier tab final,Contract Number,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NACRO,ERS-524494-92082,"£45,333.33",SPP015 - NACRO - SPP 2014-15 July Payment,B6 4US,,Other,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL CHILDRENS BUREAU LTD,ERS-524495-92101,"£45,333.33",SPP016 - NCB - SPP 2014-15 July Payment,EC1V 7QE,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE NATIONAL COUNCIL FOR PALLIATIVE CARE,ERS-524496-92102,"£45,333.33",SPP017 - NCPC - SPP 2014-15 July Payment,N7 9AS,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ROYAL MENCAP SOCIETY,ERS-524497-92103,"£38,333.33",SPP018 - THE DISABILITY PARTNERSHIP (Mencap) - SPP 2014-15 July Payment,EC1Y 0RT,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,WOMEN'S RESOURCE CENTRE,ERS-524498-92104,"£45,333.33",SPP022 - WOMEN'S RESOURCE CENTRE - SPP 2014-15 July Payment,N7 9DP,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,ERS-524514-92148,"£250,000.00",MRC - ( NIHR Phenome Centre),SN2 1FF,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Research & development,DG: RDD,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL (STFC),ERS-524516-92143,"£69,606.00",Invention for Innovation,OX11 0QX,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Provisions cash payment,DG: ERD,NHS INJURY BENEFITS SCHEME,ERS-524525-92161,"£4,331,304.66","Injury Allowance Recharging Payment, Jul 2014",FY7 8LG,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41856,Revenue Grants to local authorities,DG: SCLGCP,NORTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,ERS-524545-92204,311220,Local Reform and Community Voices & Care Bill Implementation Grants 14/15,NE28 6UZ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,NORTH YORKSHIRE COUNTY COUNCIL,ERS-524546-92205,"£562,721.00",Local Reform and Community Voices & Care Bill Implementation Grants 14/15,DL6 1DF,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,NORTHAMPTONSHIRE COUNTY COUNCIL,ERS-524548-92202,"£615,731.00",Local Reform and Community Voices & Care Bill Implementation Grants 14/15,NN4 7DB,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,NORTHUMBERLAND COUNTY COUNCIL,ERS-524549-92203,"£399,787.00",Local Reform and Community Voices & Care Bill Implementation Grants 14/15,NE61 2EF,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,NOTTINGHAM CITY COUNCIL,ERS-524550-92206,"£404,947.00",Local Reform and Community Voices & Care Bill Implementation Grants 14/15,NG1 2DE,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,NOTTINGHAMSHIRE COUNTY COUNCIL,ERS-524551-92207,"£762,017.00",Local Reform and Community Voices & Care Bill Implementation Grants 14/15,NG2 7QP,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,OLDHAM METROPOLITAN BOROUGH COUNCIL,ERS-524553-92208,"£327,707.00",Local Reform and Community Voices & Care Bill Implementation Grants 14/15,OL1 1UH,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,OXFORDSHIRE COUNTY COUNCIL,ERS-524554-92209,"£538,873.00",Local Reform and Community Voices & Care Bill Implementation Grants 14/15,OX4 2GQ,,Programme,Public,,,,,,,,,,,,,,,,
