Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,East Sussex County Council (High Weald AONB),310513,"£73,617.00",2012-13 Area of Outstanding Natural Beauty Grant - April 2012-March 2013 - second installment,BN7 1UE,,exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,Dedham Vale ANOB,160413,"£70,015.00",2012-13 Area of Outstanding Natural Beauty Grant January-March 2013,IP1 2DH,,exempt,00000000,Expense,,
DEFRA,Core Defra,13/06/2013,Current Grants E,Policy Delivery DG,Solway Coast AONB Partnership,230513,"£41,772.86",2012-13 Area of Outstanding Natural Beauty Grant January-March 2013,CA14 3YJ,,exempt,00000000,Expense,,
DEFRA,Core Defra,21/06/2013,Current Grants E,Policy Delivery DG,Shropshire Hills AONB,150513,"£82,544.00",2012-13 Area of Outstanding Natural Beauty Grant January-March 2013,SY2 6ND,,exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Current Grants E,Policy Delivery DG,North Yorkshire County Council,290513,"£33,409.00",2012-13 Area of Outstanding Natural Beauty Grant - April 2012-March 2013 - second installment,DL7 8AL,,exempt,00000000,Expense,,
DEFRA,Core Defra,03/06/2013,Evidence Non R&D,Policy Delivery DG,Food & Environment Research Agency,F0027914,"£243,346.50",2012-13 Memorandum of Understanding Quarter 4 - January-March 2013,YO41 1LZ,,16731,00000000,Expense,,
DEFRA,Core Defra,19/06/2013,Current Grants E,Policy Delivery DG,Bermuda Zoological Society,140613,"£25,803.50",Darwin Institute Quarter 1 payment,,,,DARWPLUS,Expense,,
DEFRA,Core Defra,19/06/2013,Current Grants E,Policy Delivery DG,Pesticide Action Network UK,040413,"£32,626.00",Studying impacts on biodiversity in Ethiopia and agro-ecological solutions (2013-16) - Darwin Initiative grant ,EC2A 4JX,SME,20111,DARWDFID,Expense,,
DEFRA,Core Defra,19/06/2013,Current Grants E,Policy Delivery DG,South Georgia Heritage Trust,260313,"£54,889.50",South Georgia Habitat Restoration Project: Mouse eradication sub-project (2013-16) - Darwin Initiative grant scheme,DD1 5BT,SME,20108,DARWINXX,Expense,,
DEFRA,Core Defra,21/06/2013,Current Grants E,Policy Delivery DG,Institute of Zoology,290513,"£26,080.00",A sustainable future for Chinese Giant Salamanders (2012-16) - Darwin Initiative grant - July 2012-March 2013,NW1 4RY,,Exempt,DARWINXX,Expense,,
