Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,06/06/2014,Contractor/Staff Substitution,DG: SFNHS,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10002841,"£28,415.18",CPD National Lead,,,Programme,LARGE,
Department of Health,Department of Health,09/06/2014,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6284884,"£203,917.00",2014-15 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6285053,"£203,917.00",2014-15 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-521584-89293,"£250,000.00",Comprehensive Networks,OX3 7HE,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-521586-89298,"£250,000.00",Comprehensive Networks,NG7 2UK,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-521587-89288,"£98,675.00",CANCER NETWORKS,NR4 7UY,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-521588-89281,"£135,271.00",CANCER NETWORKS,BS99 1YF,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-521589-89284,"£125,275.00",CANCER NETWORKS,SO52 9AB,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,DERBY HOSPITALS NHS FOUNDATION TRUST,ERS-521590-89292,"£70,863.00",CANCER NETWORKS,DE1 2QS,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-521591-89303,"£110,241.00",CANCER NETWORKS,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-521592-89296,"£123,610.00",CANCER NETWORKS,LE5 4QF,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ERS-521593-89283,"£182,206.00",CANCER NETWORKS,CH63 4JY,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-521594-89299,"£149,094.00",CANCER NETWORKS,NG7 2UK,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-521595-89289,"£150,077.00",CANCER NETWORKS,NW1 2BX,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-521596-89290,"£170,192.00",CANCER NETWORKS,NE7 7DN,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-521597-89286,"£154,366.00",CANCER NETWORKS,S5 7AU,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-521598-89302,"£125,045.00",DeNDRON NETWORKS,M21 9UN,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-521599-89294,"£117,901.00",DeNDRON NETWORKS,OX3 7HE,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-521600-89291,"£111,747.00",DIABETES NETWORKS,NE7 7DN,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-521601-89304,"£124,293.00",DIABETES NETWORKS,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-521602-89297,"£118,443.00",DIABETES NETWORKS,LE5 4QF,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-521603-89282,"£146,121.00",MEDS FOR CH'REN CTUs,BS99 1YF,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-521604-89301,"£103,846.00",MENTAL HEALTH NETWORKS,B15 2PZ,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",ERS-521605-89300,"£99,616.00",MENTAL HEALTH NETWORKS,NE3 3XT,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ERS-521607-89295,"£131,312.00",MENTAL HEALTH NETWORKS,NW1 7QY,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,ERS-521612-89287,"£75,381.00",PRIMARY CARE NETWORKS,ST2 8LD,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-521613-89285,"£67,835.00",CANCER NETWORKS,SO52 9AB,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-17122,"£1,896,000.00",,MK6 5LD,,Other,PUBLIC,
Department of Health,Department of Health,09/06/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,HAFS-17123,"£1,600,000.00",,DN15 7BH,,Other,PUBLIC,
Department of Health,Department of Health,09/06/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,HAFS-17124,"£2,215,000.00",,CH63 4JY,,Other,PUBLIC,
Department of Health,Department of Health,09/06/2014,Additions FT Financing Facility Loans,DG: Central Technical,LANCASHIRE CARE NHS FOUNDATION TRUST,HAFS-17125,"£5,000,000.00",,PR5 6XT,,Other,PUBLIC,
Department of Health,Department of Health,09/06/2014,Additions FT Financing Facility Loans,DG: Central Technical,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,HAFS-17126,"£2,900,000.00",,TQ2 7AN,,Other,PUBLIC,
Department of Health,Department of Health,09/06/2014,Additions FT Financing Facility Loans,DG: Central Technical,THE ROYAL MARSDEN NHS FOUNDATION TRUST,HAFS-17127,"£2,000,000.00",,SW3 6JJ,,Other,PUBLIC,
Department of Health,Department of Health,09/06/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17128,"£250,000.00",,PE3 6DA,,Other,PUBLIC,
Department of Health,Department of Health,09/06/2014,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,HAFS-17129,"£1,214,000.00",,CM20 1QX,,Other,PUBLIC,
Department of Health,Department of Health,09/06/2014,Query,DG: ERD,NHS PROPERTY SERVICES ,50008074,"£44,636.80",UNPAID ENHANCEMENTS,WF3 1WE,,Programme,,
Department of Health,Department of Health,09/06/2014,Consultancy/Professional Advice,DG: SFNHS,DELOITTE,1111054106,"£29,969.00",Financial Advisory Services,MK9 1FD,,Programme,LARGE,
Department of Health,Department of Health,09/06/2014,Consultancy/Professional Advice,DG: SFNHS,DELOITTE,1111054106,£0.00,Technical Advisory Services,MK9 1FD,,Programme,LARGE,
Department of Health,Department of Health,09/06/2014,Research & development,DG: RDD,LGC LTD,50317493,"£774,195.00",Central Commissioning Function,TW11 0LY,,Programme,LARGE,
Department of Health,Department of Health,09/06/2014,Addition Clearing - SW LIC,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201370061,"£1,270,693.99",Capital: FY 2013/14 Deployment Capital Cash Requirements (committed costs only),PR1 8UQ,,Programme,LARGE,
Department of Health,Department of Health,09/06/2014,Addition Clearing - SW LIC,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201370061,"£110,792.82",Capital: LSP NME CSC - F/Y 2014/15 - Non Lorenzo Deployment. Capital cash requirements (committed costs only),PR1 8UQ,,Programme,LARGE,
Department of Health,Department of Health,09/06/2014,Policy Payments,DG: SCLGCP,CABINET OFFICE,250009973,"£314,316.00",13/14 SEIF interest transfer to the Cabinet Office,CF14 3UW,,Programme,PUBLIC,
Department of Health,Department of Health,09/06/2014,Addition Clearing - OLB,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),2921480,"£70,216.75","Quarry House - Construction Works, Churn and Fees for Floors 4N, 4NE and 4NW",FY5 3TA,,Admin,PUBLIC,
Department of Health,Department of Health,09/06/2014,Rates,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5026870,£0.00,"Quarry House Leeds - Accomm. Costs April 2013 - January 2014 Business Rates@£127,256.40 mthly.",FY5 3TA,,Admin,PUBLIC,
Department of Health,Department of Health,09/06/2014,Rates,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5026870,"£108,174.45","Quarry House Leeds - Accomm. Business Rates April 2014 - March 2015 @£120,730.53 mthly.",FY5 3TA,,Admin,PUBLIC,
Department of Health,Department of Health,09/06/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5026870,"£1,554.78","Quarry House Leeds - Prime Variable Charge Recovery (Water)April 2014 - March 2015 @£1,400 mthly.",FY5 3TA,,Admin,PUBLIC,
Department of Health,Department of Health,09/06/2014,Building repairs & maintenance,DG: GOAD,DRIVER AND VEHICLE LICENSING AGENCY (DVLA),9300170344,"£36,216.38",Premier House to Theale House - dilapidations costs,SA6 7JL,,Admin,PUBLIC,
Department of Health,Department of Health,09/06/2014,Outsourcing Contract,DG: PHD,THE TERRENCE HIGGINS TRUST,29001084,"£244,999.99",Targeted HIV prevention work 2013/14.  ,WC1X 8DP,,Programme,VCS,
Department of Health,Department of Health,10/06/2014,Research & development,DG: RDD,RAND EUROPE CIC,14241/10073-50,"£54,094.58",PROJECTS,CB4 1YG,,Programme,SME,
Department of Health,Department of Health,10/06/2014,Service charge,DG: GOAD,BT GROUP PLC,355462PART PAYT,"£3,927,737.73",Revenue: London LSP 14/15,NW9 6LB,,Programme,LARGE,
Department of Health,Department of Health,10/06/2014,Service charge,DG: GOAD,BT GROUP PLC,355463PART PAYT,"£1,117,340.35",Revenue: London LSP 14/15,NW9 6LB,,Programme,LARGE,
Department of Health,Department of Health,10/06/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584160117,"£82,478.40",PPR 199 - Operational acceptance,WS11 0JA,,Admin,LARGE,
Department of Health,Department of Health,10/06/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,SOCIAL ENTERPRISE COALITION,ERS-521657-89321,"£93,864.00",IESD 2013-14- AIMs 2567413 - Social Enterprise UK (Coalition)- project:Improving health and well-being outcomes through better partnership with the Voluntary Community and Social Enterprise Sector,SE1 2HZ,,Other,VCS,
Department of Health,Department of Health,10/06/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,BLISS THE NATIONAL CHARITY FOR THE NEWBORN,ERS-521666-89361,"£35,742.00",IESD - 2013/14 - BLISS - The BLISS: Guide for families of late pre-term and sick babies - AIMS 2544922,SE1 2EL,,Other,VCS,
Department of Health,Department of Health,11/06/2014,Service charge,DG: GOAD,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12667240,"£1,858,472.40",Revenue: HSCIC Choices - Recharge of Admin related costs August 2013 to March 2014,LS1 6AE,,Programme,PUBLIC,
Department of Health,Department of Health,11/06/2014,Telephone costs,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),259065,"£49,933.44",Telephony - voice & data line rental & usage costs,RG12 1RW,,Admin,LARGE,
Department of Health,Department of Health,11/06/2014,Service charge,DG: GOAD,BT GROUP PLC,354619,"£131,169.40",Revenue -- BT Spine revenue shortfall,NW9 5BA,,Programme,LARGE,
Department of Health,Department of Health,11/06/2014,Service charge,DG: GOAD,BT GROUP PLC,354619,"£6,727.24",Revenue: BT Spine - Committed 2014/15,NW9 5BA,,Programme,LARGE,
Department of Health,Department of Health,11/06/2014,Service charge,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),444819,"£510,141.85",Revenue: NHS Mail core contract 1 April 2014 - 30 June 2014,RG12 1RW,,Programme,LARGE,
Department of Health,Department of Health,11/06/2014,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90163560,"£212,884.21",non transferring staff,GU21 6QX,,Programme,LARGE,
Department of Health,Department of Health,11/06/2014,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90164633,"£213,214.61",non transferring staff,GU21 6QX,,Programme,LARGE,
Department of Health,Department of Health,11/06/2014,Service charge,DG: GOAD,BT GROUP PLC,CHAPS11/6/14,"£64,799.72",,NW9 6LB,,Programme,LARGE,
Department of Health,Department of Health,11/06/2014,Outsourcing Contract,DG: SCLGCP,WEST MIDLANDS POLICE AUTHORITY,133310,"£106,000.00",Street triage project funding - 2014-15 (West Midlands Police),B4 6NQ,,Programme,PUBLIC,
Department of Health,Department of Health,11/06/2014,Rates,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5026767,"£102,958.45","Quarry House Leeds - Accomm. Business Rates April 2014 - March 2015 @£120,730.53 mthly.",FY5 3TA,,Admin,PUBLIC,
Department of Health,Department of Health,11/06/2014,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5026767,"£575,249.06","Quarry House Leeds - Accomm. FUP Rent Charge April 2014 - March 2015 @£589,937.40 mthly.",FY5 3TA,,Admin,PUBLIC,
Department of Health,Department of Health,11/06/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,AGE UK,ERS-521725-89381,"£60,471.00",2012-13 IESD AIMs ref: 1790925 Age Concern Support services (Yorkshire &Humber) - project: Making the Link,BD1 2AY,,Other,VCS,
Department of Health,Department of Health,11/06/2014,Revenue Grants to non-profit institutions,DG: PHD,YOUTH SPORT TRUST,ERS-521728-89401,"£375,000.00",2013/024 Youth Sport Trust - Additional funding for Change 4 Life School Clubs to target areas of higher prevalence and further extend number of schools,LE11 3QF,,Programme,VCS,
Department of Health,Department of Health,11/06/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,LANCASHIRE MIND LTD,ERS-521749-89442,"£97,180.00",2013-14 IESD - Lancashire Mind - Project: Passport to Wellbeing AIMS: 2531282,PR7 2DR,,Other,VCS,
Department of Health,Department of Health,11/06/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ACTION FOR BLIND PEOPLE,ERS-521751-89443,"£31,257.00",2013-14 IESD - Action for Blind People - Project: Living with sight loss AIMS: 2542063,SW12 8BA,,Other,VCS,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-521770-89486,"£41,922.00",Research Capability Funding,L12 2AP,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-521770-89486,"£40,530.00",CRFs - CRII,L12 2AP,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-521771-89571,"£116,645.00",Research Capability Funding,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-521771-89571,"£2,451,950.00",Comprehensive Networks,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-521771-89571,"£77,484.00",Comprehensive Networks,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-521771-89571,"£83,335.00",CLAHRCs,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-521771-89571,"£52,805.00",Health Technology Co-operatives,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-521771-89571,"£109,290.00",Biomedical Units,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-521773-89526,"£25,402.00",Research Capability Funding,B15 2PZ,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-521776-89483,"£63,247.00",Research Capability Funding,WF3 1WE,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-521776-89483,"£16,890.00",NIHR Fellowships,WF3 1WE,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-521776-89483,"£58,750.00",Health Technology Co-operatives,WF3 1WE,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-521777-89525,"£54,545.00",CRFs - CRII,BN2 3EW,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-521777-89525,"£39,962.00",Research Capability Funding,BN2 3EW,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-521781-89489,"£197,255.00",CRFs - CRII,CB2 2QQ,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-521781-89489,"£50,000.00",Health Technology Co-operatives,CB2 2QQ,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-521781-89489,"£17,735.00",NIHR Fellowships,CB2 2QQ,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-521781-89489,"£607,692.00",Research Capability Funding,CB2 2QQ,,Programme,PUBLIC,
