Department,Entity,Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
FCO,FCO,09/11/2016,8319385,26781.19,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/11/2016,8230442,26746.71,FCO SERVICES,Residential Property Services
FCO,FCO,15/11/2016,8378678,26696.16,DHAKA ELECTRIC SUPPLY CO,Multiple Accounts
FCO,FCO,03/11/2016,8259460,26693,HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/11/2016,8436454,26525.64,WOODNEWTON ASSOCIATES LIMITED,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,08/11/2016,8310505,26392.55,VIET CHAMBER COMMERCE AND INDUSTRY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/11/2016,8420441,26379.79,ECORYS GROUP UK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/11/2016,8322526,26360,OAS ORGANIZATION AMERICAN STATES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,14/11/2016,8355565,26331.88,G4S SECURITY SERVICES,Local Guards
FCO,FCO,29/11/2016,8535650,26254.86,SANLAM PROVIDENT FUND,Multiple Accounts
FCO,FCO,15/11/2016,8383428,26181.43,BRYTYJSKO POLSKIE USLUGI SP Z O O,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,09/11/2016,8319118,26144.05,HORIZON TOURS LLC,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,11/11/2016,8345484,26085,MOTT MACDONALD LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/11/2016,8535638,26014.15,OVE ARUP PARTNERS INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/11/2016,8317435,25921.74,PRACTICAL ACTION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/11/2016,8512631,25911.59,CAPITA GROUP PLC,Training Courses
FCO,FCO,21/11/2016,8443497,25858.1,ARMED FORCES OFFICERS CLUB,Business Hospitality (former DEE)
FCO,FCO,07/11/2016,8293662,25852.33,UMOJA HOUSE JMC,Property Maintenance Overseas Non Residential
FCO,FCO,10/11/2016,8339454,25842.69,CARBON TRUST ADVISORY LTD,Programme Spend (Oracle Projects Control Account)
