Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,09/07/2015,Spend on Inventory - General,Land Forces,VISION SUPPORT SERVICES LIMITED,BB1 2QE,32520,Spend on Inventory - General,"Ł5,017.89"
Ministry of Defence,Ministry of Defence,08/07/2015,IT and communication services,JFC,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,31830,Computer equipment costing below the capitalisation threshold,"Ł5,012.28"
Ministry of Defence,Ministry of Defence,06/07/2015,Research and development,DES Bespoke Trading Entity,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,30864,Research and development at the pre main gate stage of a project,"Ł5,000.00"
Ministry of Defence,Ministry of Defence,02/07/2015,Purchase of inventory and services ,DEFENCE INFRASTRUCTURE ORGANISATION,XMA LTD,NG11 7EP,30378,Cost of other material consumed,"Ł4,987.96"
Ministry of Defence,Ministry of Defence,09/07/2015,Spend on Inventory - General,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,32152,Spend on Inventory - General,"Ł4,971.56"
Ministry of Defence,Ministry of Defence,31/07/2015,"Transportation of personnel, freight and travel expenses",Defence Equipment + Support,METCALFE FARMS (HAULAGE) LIMITED,DL8 5JZ,39988,Freight movement costs,"Ł4,963.92"
Ministry of Defence,Ministry of Defence,29/07/2015,IT and communication services,JFC,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,38839,Computer equipment costing below the capitalisation threshold,"Ł4,932.73"
Ministry of Defence,Ministry of Defence,02/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,30227,Estate + facilities management services - accommodation inventory + service,"Ł4,897.87"
Ministry of Defence,Ministry of Defence,02/07/2015,Purchase of inventory and services ,Land Forces,WILLIAMS LEA LIMITED,NR3 1PD,30365,Cost of other material consumed,"Ł4,877.68"
Ministry of Defence,Ministry of Defence,16/07/2015,General services and support,Air Command,SAFESKYS LTD,HP11 1LT,34416,Purchase of defence support equipment below capitalisation threshold of Ł25k.,"Ł4,855.83"
Ministry of Defence,Ministry of Defence,17/07/2015,Purchase of inventory and services ,DES Bespoke Trading Entity,XMA LTD,NG11 7EP,35054,Cost of other material consumed,"Ł4,854.46"
Ministry of Defence,Ministry of Defence,09/07/2015,Spend on Inventory - General,Defence Equipment + Support,JOHNSON CONTROLS BUILDING EFFICENCY UK LIMITED,P07 7YH,32284,Spend on Inventory - General,"Ł4,844.18"
Ministry of Defence,Ministry of Defence,23/07/2015,IT and communication services,DEFENCE INFRASTRUCTURE ORGANISATION,SOFTWARE BOX LIMITED,YO61 1ET,37155,IT Services -internal costs,"Ł4,800.00"
Ministry of Defence,Ministry of Defence,21/07/2015,"Transportation of personnel, freight and travel expenses",JFC,PENTALVER TRANSPORT LTD,SO15 1AW,36206,Freight movement costs,"Ł4,797.00"
Ministry of Defence,Ministry of Defence,02/07/2015,Fees for professional services,Navy Command,THE DISCLOSURE AND BARRING SERVICE,L69 3JA,30294,Fees for professional services excluding legal fees,"Ł4,796.00"
Ministry of Defence,Ministry of Defence,28/07/2015,Building maintenance and accommodation stores,DEFENCE INFRASTRUCTURE ORGANISATION,JOSEPH GLEAVE & SON LTD,M32 0NB,38513,Building maintenance accommodation inventory,"Ł4,793.34"
