MODGPC47363,04-Dec-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł3,203.68",47363
MODGPC47364,12-Dec-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł636.00,47364
MODGPC47365,12-Dec-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł1,694.73",47365
MODGPC47366,11-Dec-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł595.00,47366
MODGPC47367,10-Dec-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł595.00,47367
MODGPC47368,13-Dec-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł8,187.48",47368
MODGPC47369,12-Dec-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł595.00,47369
MODGPC47370,13-Dec-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł918.00,47370
MODGPC47371,13-Dec-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł14,528.00",47371
MODGPC47372,10-Dec-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,164.00",47372
MODGPC47373,10-Dec-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł899.70,47373
MODGPC47374,11-Dec-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,305.05",47374
MODGPC47375,07-Dec-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł853.05,47375
MODGPC47376,13-Dec-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł510.00,47376
MODGPC47377,06-Dec-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł714.98,47377
MODGPC47378,06-Dec-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł560.03,47378
MODGPC47379,10-Dec-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł837.00,47379
MODGPC47380,13-Dec-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł1,990.00",47380
MODGPC47381,04-Dec-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,Ł624.48,47381
MODGPC47382,12-Dec-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł4,246.90",47382
MODGPC47383,03-Dec-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł885.44,47383
MODGPC47384,04-Dec-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł692.36,47384
MODGPC47385,04-Dec-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł692.36,47385
MODGPC47386,12-Dec-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł2,178.18",47386
MODGPC47387,04-Dec-12,Estate and Garden Services         , FLORISTS,Ł988.35,47387
MODGPC47388,05-Dec-12,Freight and Storage                , MOTOR FREIGHT CARRIERS,"Ł1,270.36",47388
MODGPC47389,06-Dec-12,Freight and Storage                , MOTOR FREIGHT CARRIERS,Ł630.00,47389
MODGPC47390,07-Dec-12,Freight and Storage                , MOTOR FREIGHT CARRIERS,Ł643.97,47390
MODGPC47391,05-Dec-12,Freight and Storage                , MOTOR FREIGHT CARRIERS,Ł851.00,47391
MODGPC47392,12-Dec-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł569.28,47392
MODGPC47393,11-Dec-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł7,326.00",47393
MODGPC47394,11-Dec-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł1,797.12",47394
MODGPC47395,11-Dec-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł8,939.52",47395
MODGPC47396,11-Dec-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł7,646.10",47396
MODGPC47397,11-Dec-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł10,152.00",47397
MODGPC47398,11-Dec-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł5,101.44",47398
MODGPC47399,11-Dec-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł25,409.95",47399
MODGPC47400,13-Dec-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł1,634.88",47400
MODGPC47401,13-Dec-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł3,514.56",47401
MODGPC47402,13-Dec-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł7,755.73",47402
MODGPC47403,13-Dec-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł1,580.11",47403
MODGPC47404,06-Dec-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,Ł860.00,47404
MODGPC47405,05-Dec-12,General Retail and Wholesale       , SHOE STORES,Ł564.19,47405
MODGPC47406,11-Dec-12,General Retail and Wholesale       , SHOE STORES,Ł712.20,47406
