Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Defence Science and Technology Laboratory,28/03/2013,Materials & Equipment,Programme Office,IMPERIAL COLLEGE LONDON,,V - 9000150756 - 00143046,,59400
Ministry of Defence,Ministry of Defence,05/03/2013,"Transportation of personnel, freight and travel expenses",Land Forces,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,176267,Military short term detached duty,"59,267.95"
Ministry of Defence,Ministry of Defence,28/03/2013,"Purchase of major spares armaments, medical & general stores",Defence Equipment & Support,E.P.BARRUS LTD,OX26 4UR,187963,Capital spares engineering and technical inventory fiscal capital in year addition,"59,173.70"
Ministry of Defence,Defence Science and Technology Laboratory,01/03/2013,Sub Contracted Work,Operations,NITEWORKS,,V - 9000149868 - 00155335,,59159
Ministry of Defence,Defence Science and Technology Laboratory,15/03/2013,Sub Contracted Research,Programme Office,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000150255 - 00157556,,59154
Ministry of Defence,Ministry of Defence,26/03/2013,Design services and minor equipment purchases,Defence Equipment & Support,COBHAM FLIGHT INSPECTION  LIMITED,DL2 1NJ,186511,Equipment support project costs,"58,958.00"
Ministry of Defence,Ministry of Defence,18/03/2013,Payment of utilities,Land Forces,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,182152,Utilities consumed - gas,"58,916.26"
Ministry of Defence,Ministry of Defence,25/03/2013,Fuel for military use,Air Command,GB OILS LIMITED,WA3 6XG,176200,Cost of ground diesel fuel consumed,"58,869.44"
Ministry of Defence,Ministry of Defence,22/03/2013,Design services and minor equipment purchases,Air Command,EUROPEAN ELECTRONIQUE LIMITED,OX29 4TT,184453,Equipment support non-project costs,"58,776.00"
Ministry of Defence,Ministry of Defence,26/03/2013,Purchase of inventory and services ,Defence Equipment & Support,SOMERS FORGE LTD,B62 8DZ,186855,Raw material and consumable or capital spare purchased,"58,655.25"
Ministry of Defence,Ministry of Defence,18/03/2013,Externally delivered education and training,Land Forces,RIGHT MANAGEMENT LIMITED,EC4N 7BE,182675,External military training ,"58,652.45"
Ministry of Defence,Ministry of Defence,16/03/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,HAFIF TRAVEL & TOURISM CO. LTD.,,CO Mar-13 0003,Movement of service personnel,"58,636.51"
Ministry of Defence,Ministry of Defence,28/03/2013,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000018662,Raw materials and consumable aviation fuel inventory purchased,"58,611.60"
Ministry of Defence,Defence Science and Technology Laboratory,28/03/2013,Consumable Materials,Operations,SERCO LIMITED (LABORATORY ASSETS ONLY),,V - 9000150812 - 00158693,,58602.3
Ministry of Defence,Ministry of Defence,05/03/2013,Fees for professional services,Defence Infrastructure Organisation ,GVA GRIMLEY LIMITED,B1 2JB,176044,Fees for professional services excluding legal fees,"58,500.00"
Ministry of Defence,Ministry of Defence,07/03/2013,Spend on Inventory - General,Defence Equipment & Support,THYSSENKRUPP AEROSPACE UK LTD,MK8 8DF,177720,Spend on Inventory - General,"58,408.00"
Ministry of Defence,Ministry of Defence,11/03/2013,Spend on Inventory - General,Defence Equipment & Support,LLANELEC PRECISION ENGINEERING COMPANY LIMITED,SA11 1YD,178885,Spend on Inventory - General,"58,341.60"
Ministry of Defence,Ministry of Defence,20/03/2013,Estate management,Land Forces,SODEXO LTD,M50 0AL,183841,Estate + facilities management services - accommodation inventory + service,"58,318.29"
Ministry of Defence,Defence Science and Technology Laboratory,08/03/2013,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000150105 - 00156055,,58290
Ministry of Defence,Defence Science and Technology Laboratory,08/03/2013,Sub Contracted Work,Operations,SVGC LIMITED,,V - 9000150025 - 00156697,,58251.75
