Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,18/11/2014,Purchase of inventory and services ,Defence Equipment + Support,CARWOOD MOTOR UNITS LTD,CV3 2RQ,403935,Cost of other material consumed,"£59,096.70"
Ministry of Defence,Ministry of Defence,21/11/2014,Fuel for military use,Navy Command,ARVAL UK LTD,SN5 6PE,405634,Oil and lubricants consumed excluding those from the inventory system,"£59,093.52"
Ministry of Defence,Defence Science and Technology Laboratory,07/11/2014,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000162030 - 00194552,Repairs & Maintenance,"£58,980.71"
Ministry of Defence,Ministry of Defence,06/11/2014,Externally delivered education and training,Navy Command,UNIVERSITY OF PORTSMOUTH,PO1 2UP,399571,External military training ,"£58,960.00"
Ministry of Defence,Ministry of Defence,19/11/2014,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,NEW NIEDERRHEIN ENERGIE UND WASSER GMBH,,5000121075,Utilities consumed - electricity,"£58,884.10"
Ministry of Defence,Ministry of Defence,24/11/2014,Development costs for military equipment,Defence Equipment + Support,VECTRONIX AG,,3000011240,Single use military equipment asset under construction - capital in year addition,"£58,750.00"
Ministry of Defence,Ministry of Defence,26/11/2014,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,STADTWERKE BIELEFELD GMBH,,5000121336,Utilities consumed - gas,"£58,718.90"
Ministry of Defence,Ministry of Defence,25/11/2014,Fuel for military use,Land Forces,CERTAS ENERGY UK LIMITED,WA3 6XG,407696,Cost of ground diesel fuel consumed,"£58,716.48"
Ministry of Defence,Ministry of Defence,25/11/2014,Estate management,JFC,INTERSERVE (DEFENCE) LTD,BS32 4NH,407801,Works - estate management,"£58,658.39"
Ministry of Defence,Ministry of Defence,14/11/2014,Food and clothing,Defence Equipment + Support,ELIOR UK PLC,SK11 6ET,402935,Cost of food services,"£58,651.23"
Ministry of Defence,Ministry of Defence,26/11/2014,"Transportation of personnel, freight and travel expenses",Air Command,NATIONAL AVIATION SERVICES,,2000023596,Aircraft landing fees,"£58,637.26"
Ministry of Defence,Ministry of Defence,19/11/2014,Spend on Inventory - General,Defence Equipment + Support,LLANELEC PRECISION ENGINEERING COMPANY LIMITED,SA11 1YD,404563,Spend on Inventory - General,"£58,556.16"
Ministry of Defence,Ministry of Defence,26/11/2014,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,LONGREACH COMMERCIAL PROPERTY INVESTMENTS LIMITED,LS15 4NR,408403,Rent buildings - non civil estate property and married quarter property,"£58,500.00"
Ministry of Defence,Ministry of Defence,12/11/2014,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,401686,Equipment support project costs,"£58,392.64"
Ministry of Defence,Ministry of Defence,24/11/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,OBERFINANZDIREKTION NIEDERSACHSEN,,5000121230,Works - estate management,"£58,366.13"
Ministry of Defence,Defence Science and Technology Laboratory,14/11/2014,Other Services & Office costs,Programme Delivery Directorate,UNIVERSITY OF SOUTHAMPTON,,V - 9000162172 - 00194288,Other Services & Office costs,"£58,330.00"
Ministry of Defence,Ministry of Defence,13/11/2014,Design services and minor equipment purchases,Defence Equipment + Support,SUN TEST SYSTEMS BV,,5000120865,Equipment support non-project costs,"£58,264.25"
Ministry of Defence,Ministry of Defence,10/11/2014,Fuel for military use,Air Command,ARVAL UK LTD,SN5 6PE,400723,Oil and lubricants consumed excluding those from the inventory system,"£58,249.66"
Ministry of Defence,Ministry of Defence,20/11/2014,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,TEWKESBURY BOROUGH COUNCIL,GL20 5TT,405493,Rent buildings - non civil estate property and married quarter property,"£58,244.97"
Ministry of Defence,Ministry of Defence,06/11/2014,Spend on Inventory - General,Defence Equipment + Support,E.P.BARRUS LTD,OX26 4UR,399287,Spend on Inventory - General,"£58,216.04"
Ministry of Defence,Ministry of Defence,06/11/2014,Spend on Inventory - General,Defence Equipment + Support,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,399183,Spend on Inventory - General,"£58,181.58"
Ministry of Defence,Ministry of Defence,14/11/2014,Design services and minor equipment purchases,Defence Equipment + Support,ELECTRO SERVICES (MIDLANDS) LTD,TF7 4QL,402934,Equipment support non-project costs,"£57,850.20"
Ministry of Defence,Ministry of Defence,10/11/2014,Fuel for military use,Defence Equipment + Support,ARVAL UK LTD,SN5 6PE,400723,Oil and lubricants consumed excluding those from the inventory system,"£57,817.17"
Ministry of Defence,Ministry of Defence,06/11/2014,"Transportation of personnel, freight and travel expenses",HO+CS,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,399454,Military short term detached duty,"£57,797.60"
Ministry of Defence,Ministry of Defence,25/11/2014,Fees for professional services,Land Forces,LGC LTD,TW11 0LY,407830,Fees for professional services excluding legal fees,"£57,673.35"
