Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.10.2011 to 31.10.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,BROMLEY LONDON BOROUGH COUNCIL,397627,1131506,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,CROYDON LONDON BOROUGH COUNCIL,397629,1204352,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,EALING LONDON BOROUGH COUNCIL,397631,2029165,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,ENFIELD LONDON BOROUGH COUNCIL,397633,1136109,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,HARINGEY,397635,1224993,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,HARROW LONDON BOROUGH COUNCIL,397637,749373,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,HAVERING LONDON BOROUGH COUNCIL,397639,822028,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,HILLINGDON LONDON BOROUGH COUNCIL,397641,1728922,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,HOUNSLOW LONDON BOROUGH COUNCIL,397643,1355876,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,KINGSTON UPON THAMES ROYAL BOROUGH,397645,544055,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,MERTON LONDON BOROUGH COUNCIL,397647,955357,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,NEWHAM LONDON BOROUGH COUNCIL,397649,1371381,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,REDBRIDGE LONDON BOROUGH COUNCIL,397651,1542528,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,RICHMOND UPON THAMES LONDON BOROUGH COUNCIL,397653,2984583,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,SUTTON LONDON BOROUGH COUNCIL,397655,809579,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CITY COUNCIL,397657,3166141,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,COVENTRY COUNTY COUNCIL,397659,1229339,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,DUDELEY METROPOLITAN BOROUGH COUNCIL,397661,695567,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,SANDWELL METROPOLITAN BOROUGH COUNCIL,397663,1027099,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,SOLIHULL METROPOLITAN BOROUGH COUNCIL,397665,461249,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,WALSALL METROPOLITAN BOROUGH COUNCIL,397667,817901,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,WOLVERHAMPTON COUNTY COUNCIL,397669,645801,
